# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,0.22118640258884162,0.6635592077665249,0.2288775438139601,0,3.0,3.0018828297113616,0.0,0.0,0.0
 0.04206537651856918,0.22384062526397797,0.6635698105579194,0.2288775438139601,0.12619612955570758,3.000000000000001,3.0018828297113616,0.0,26.200187238512477,0.0
 0.059489895557315,0.22649476300353572,0.6636015623083839,0.685403205170126,0.17846968667194502,2.9999999999999987,2.9895501420566624,0.0,34.0043013007079,0.0
 0.07286089422775854,0.22914873087193627,0.6636543780823395,1.140074672651253,0.21858268268327563,2.999999999999999,2.9770451908400855,0.0,40.166684762250775,0.0
 0.08413403502480195,0.23180244393360103,0.6637281729442082,1.592879365326564,0.2524021050744058,2.9999999999999964,2.9643781508509743,0.0,45.3975156585356,0.0
 0.09406687729229643,0.2344558172529514,0.6638228619584108,2.043805727698909,0.28220063187688926,3.0000000000000013,2.9515590850189692,0.0,49.998063269466144,0.0
 0.10304797494459852,0.23710876589440882,0.663938360189369,2.492843216347963,0.3091439248337955,2.999999999999994,2.9385979349542986,0.0,54.131792895394426,0.0
 0.11130816817984732,0.23976120492239467,0.6640745827015042,2.9399822858343887,0.33392450453954187,3.0,2.9255045133162114,0.0,57.899730305356606,0.0
 0.11899787737056577,0.24241304940133038,0.6642314445592378,3.3852143741036094,0.3569936321116972,2.9999999999999964,2.9122884962749356,0.0,61.36970931937958,0.0
 0.12622159601157845,0.24506421439563733,0.6644088608269911,3.828531887307541,0.37866478803473524,3.0,2.8989594161894847,0.0,64.59000382530637,0.0
 0.13305541348630984,0.24771461496973693,0.6646067465691856,4.269928184141887,0.3991662404589294,3.0,2.8855266556509056,0.0,67.59648947267078,0.0
 0.13955677737405642,0.2503641661880506,0.6648250168502426,4.70939755973795,0.4186703321221692,3.0000000000000084,2.8719994412484233,0.0,70.41674204613017,0.0
 0.1457703234240395,0.25301278311499975,0.6650635867345838,5.146935229131361,0.4373109702721184,2.999999999999991,2.8583868383958992,0.0,73.07253931583992,0.0
 0.15173155161327084,0.25566038081500575,0.6653223712866303,5.58253731035966,0.45519465483981236,2.9999999999999907,2.8446977463943046,0.0,75.5814677411247,0.0
 0.15746924776883603,0.25830687435249,0.6656012855708037,6.016200807249886,0.4724077433065079,3.0,2.8309408936612024,0.0,77.95799744297882,0.0
 0.16300713738632167,0.26095217879187393,0.6659002446515251,6.44792359188933,0.48902141215896483,3.0,2.8171248344907545,0.0,80.21422618004831,0.0
 0.16836504975995392,0.263596209197579,0.6662191635932163,6.8777043868807475,0.5050951492798615,2.99999999999999,2.8032579450150847,0.0,82.36040907367351,0.0
 0.17355975878641067,0.2662388806340265,0.6665579574602986,7.305542747318429,0.5206792763592318,3.0000000000000107,2.7893484207659056,0.0,84.40534507381263,0.0
 0.17860560386851115,0.26888010816563795,0.6669165413171931,7.731439042662122,0.5358168116055332,2.999999999999978,2.7754042736233338,0.0,86.35666483562264,0.0
 0.18351495738004023,0.2715198068568347,0.6672948302283216,8.155394438416824,0.5505448721401204,2.9999999999999942,2.7614333299113123,0.0,88.2210491272699,0.0
 0.18829858264243154,0.27415789177203814,0.6676927392581051,8.577410877696698,0.5648957479272944,3.0000000000000058,2.7474432288590727,0.0,90.00439722113617,0.0
 0.19296591221774165,0.2767942779756697,0.6681101834709655,8.997491062754866,0.5788977366532246,2.9999999999999942,2.7334414208254096,0.0,91.7119585526506,0.0
 0.19752526718333602,0.2794288805321508,0.6685470779313238,9.415638436386278,0.5925758015500078,3.000000000000006,2.719435167007249,0.0,93.34843702842487,0.0
 0.20198403200329648,0.28206161450590284,0.6690033377036017,9.831857163406914,0.6059520960098892,3.000000000000006,2.705431538104741,0.0,94.918074552531,0.0
 0.20634879551749585,0.2846923949613472,0.6694788778522204,10.246152112051858,0.6190463865524872,2.999999999999981,2.6914374148703715,0.0,96.42471866015764,0.0
 0.2106254657441368,0.2873211369629053,0.6699736134416013,10.65852883545798,0.6318763972324101,3.0000000000000067,2.6774594873297533,0.0,97.87187776586367,0.0
 0.21481936420719766,0.2899477555749985,0.670487459536166,11.068993553197119,0.6444580926215927,3.0000000000000067,2.663504255954482,0.0,99.26276668941496,0.0
 0.21893530408384232,0.2925721658620484,0.6710203312003357,11.477553132880157,0.6568059122515266,2.9999999999999867,2.6495780318266333,0.0,100.60034447165654,0.0
 0.22297765544093512,0.2951942828884761,0.6715721434985319,11.884215071879161,0.668932966322805,2.9999999999999862,2.635686938081202,0.0,101.88734600430371,0.0
 0.22695040007666717,0.29781402171870325,0.672142811495176,12.288987479166732,0.6808512002300011,3.0,2.62183691052033,0.0,103.12630867346584,0.0
 0.2308571779235387,0.30043129741715113,0.6727322502546894,12.691879057321863,0.6925715337706156,2.999999999999993,2.6080336994322675,0.0,104.31959492324333,0.0
 0.2347013265481516,0.3030460250482412,0.6733403748414934,13.092899084666225,0.7041039796444544,3.0,2.5942828714581703,0.0,105.4694115060405,0.0
 0.23848591496357802,0.3056581196763949,0.6739671003200096,13.492057397633829,0.7154577448907337,3.0000000000000075,2.5805898110822176,0.0,106.57782595378416,0.0
 0.242213772724814,0.3082674963660335,0.6746123417546593,13.889364373291302,0.7266413181744416,2.999999999999978,2.5669597229753687,0.0,107.64678078153216,0.0
